DATE,BOGZ1FL075035243Q
1975-10-01,22481.0
1976-01-01,22902.0
1976-04-01,23602.0
1976-07-01,24216.0
1976-10-01,25196.0
1977-01-01,26236.0
1977-04-01,27453.0
1977-07-01,28421.0
1977-10-01,29224.0
1978-01-01,30478.0
1978-04-01,31510.0
1978-07-01,32805.0
1978-10-01,33754.0
1979-01-01,35253.0
1979-04-01,36834.0
1979-07-01,38190.0
1979-10-01,39548.0
1980-01-01,40418.0
1980-04-01,40944.0
1980-07-01,42239.0
1980-10-01,43117.0
1981-01-01,43938.0
1981-04-01,44473.0
1981-07-01,44903.0
1981-10-01,45425.0
1982-01-01,45623.0
1982-04-01,45703.0
1982-07-01,45732.0
1982-10-01,46045.0
1983-01-01,46530.0
1983-04-01,47143.0
1983-07-01,47780.0
1983-10-01,48384.0
1984-01-01,48965.0
1984-04-01,49606.0
1984-07-01,50334.0
1984-10-01,50700.0
1985-01-01,51301.0
1985-04-01,52435.0
1985-07-01,52883.0
1985-10-01,53923.0
1986-01-01,55012.0
1986-04-01,56070.0
1986-07-01,57391.0
1986-10-01,58283.0
1987-01-01,60208.0
1987-04-01,61564.0
1987-07-01,62904.0
1987-10-01,64183.0
1988-01-01,65184.0
1988-04-01,66821.0
1988-07-01,68675.0
1988-10-01,70419.0
1989-01-01,71932.0
1989-04-01,73017.0
1989-07-01,74001.0
1989-10-01,74918.0
1990-01-01,75957.0
1990-04-01,76033.0
1990-07-01,75853.0
1990-10-01,75480.0
1991-01-01,74917.0
1991-04-01,75459.0
1991-07-01,75199.0
1991-10-01,75006.0
1992-01-01,75178.0
1992-04-01,75035.0
1992-07-01,74922.0
1992-10-01,75145.0
1993-01-01,75365.0
1993-04-01,75733.0
1993-07-01,76270.0
1993-10-01,76965.0
1994-01-01,77207.0
1994-04-01,77658.0
1994-07-01,78024.0
1994-10-01,78367.0
1995-01-01,78640.0
1995-04-01,79136.0
1995-07-01,79860.0
1995-10-01,80260.0
1996-01-01,80942.0
1996-04-01,81514.0
1996-07-01,81969.0
1996-10-01,82482.0
1997-01-01,83167.0
1997-04-01,84000.0
1997-07-01,85035.0
1997-10-01,86313.0
1998-01-01,88041.0
1998-04-01,89218.0
1998-07-01,90796.0
1998-10-01,92519.0
1999-01-01,93911.0
1999-04-01,95805.0
1999-07-01,97690.0
1999-10-01,99793.0
2000-01-01,102263.0
2000-04-01,104878.0
2000-07-01,107155.0
2000-10-01,109585.0
2001-01-01,112216.0
2001-04-01,114183.0
2001-07-01,116360.0
2001-10-01,118282.0
2002-01-01,120441.0
2002-04-01,123575.0
2002-07-01,126731.0
2002-10-01,129315.0
2003-01-01,131922.0
2003-04-01,134770.0
2003-07-01,138677.0
2003-10-01,143230.0
2004-01-01,148103.0
2004-04-01,153970.0
2004-07-01,159213.0
2004-10-01,165222.0
2005-01-01,172028.0
2005-04-01,178833.0
2005-07-01,185049.0
2005-10-01,190177.0
2006-01-01,193707.0
2006-04-01,192343.0
2006-07-01,190871.0
2006-10-01,190872.0
2007-01-01,189008.0
2007-04-01,183366.0
2007-07-01,178225.0
2007-10-01,172501.0
2008-01-01,165724.0
2008-04-01,158182.0
2008-07-01,151146.0
2008-10-01,143362.0
2009-01-01,139196.0
2009-04-01,139197.0
2009-07-01,139608.0
2009-10-01,140410.0
2010-01-01,139142.0
2010-04-01,139569.0
2010-07-01,136589.0
2010-10-01,135434.0
2011-01-01,133115.0
2011-04-01,133851.0
2011-07-01,134386.0
2011-10-01,134255.0
2012-01-01,135445.0
2012-04-01,138946.0
2012-07-01,141709.0
2012-10-01,144805.0
2013-01-01,148476.0
2013-04-01,152305.0
2013-07-01,156122.0
2013-10-01,159158.0
2014-01-01,161233.0
2014-04-01,162280.0
2014-07-01,164436.0
2014-10-01,166963.0
2015-01-01,169063.0
2015-04-01,171035.0
2015-07-01,173470.0
2015-10-01,176009.0
2016-01-01,178151.0
2016-04-01,180158.0
2016-07-01,182677.0
2016-10-01,185545.0
2017-01-01,188023.0
2017-04-01,190706.0
2017-07-01,193619.0
2017-10-01,196697.0
2018-01-01,199772.0
2018-04-01,202075.0
2018-07-01,204047.0
2018-10-01,205825.0
2019-01-01,207366.0
2019-04-01,209412.0
2019-07-01,211880.0
2019-10-01,215039.0
2020-01-01,218036.0
2020-04-01,219759.0
2020-07-01,226988.0
2020-10-01,235478.0
2021-01-01,242946.0
2021-04-01,254799.0
2021-07-01,266038.0
2021-10-01,276626.0
2022-01-01,289902.0
2022-04-01,298738.0
2022-07-01,296071.0
2022-10-01,295878.0
2023-01-01,299339.0
2023-04-01,303242.0
