"","Mean","P0","P25","P50","P75","P100","SD","Skew","Kurt","N"
"IEA","673962.27","12791.71","71718.5","155523.5","378418","16590277.97","2121668.48","5.99","41.3",427375
"Assets","710117.12","13945","77040.5","166569","404776.5","17272675.1","2210260.58","5.97","41.06",427375
"Liabilities","632684.18","11824.71","68255.5","148019","361793","15368151.8","1966397.96","5.96","41.02",427375
"Equity","69238.38","1214","8089","17493","41882","1611053.33","206988.28","5.91","40.52",427375
"Asset Duration","4.55","0.67","2.76","4","5.84","12.46","2.46","1.03","3.82",427375
"Liability Duration","0.43","0.03","0.26","0.39","0.55","1.33","0.25","1.09","4.59",427375
"Maturity Gap","4.12","0.22","2.32","3.58","5.43","11.88","2.44","0.99","3.7",427375
"Loan Share","62.79%","23.53%","53.59%","64.28%","73.47%","91.12%","14.57%","-0.46%","2.82%",427375
"Demand Deposit Share","27.99%","0.2%","17.83%","27.08%","37.16%","65.81%","14.13%","0.35%","2.73%",427375
"Saving Deposit Share","28.09%","2.01%","17.34%","25.07%","35.12%","78.06%","15.25%","1.11%","4.19%",427375
"Time Deposit Share","38.8%","3.82%","26.22%","39.04%","50.51%","85.69%","16.96%","0.18%","2.73%",427375
"Treasury Share","16.06%","0%","6.7%","13.84%","22.9%","53.42%","12.06%","0.91%","3.44%",427375
"Other Asset Share","15.23%","3.63%","9.39%","12.82%","18.15%","59.99%","9.23%","2.18%","9.46%",427375
"Other Liability Share","3.2%","0.07%","0.52%","1.16%","3.58%","28.3%","4.91%","2.86%","12.23%",427375
"NIM","0.98%","0.49%","0.85%","0.97%","1.1%","1.74%","0.21%","0.63%","4.31%",427375
"NNI","-0.6%","-1.41%","-0.71%","-0.58%","-0.48%","0.02%","0.21%","-0.65%","5.3%",427375
"ROA","0.26%","-0.73%","0.17%","0.27%","0.37%","0.92%","0.22%","-1.01%","8.16%",427375
"Loan Provision","0.08%","-0.1%","0.01%","0.04%","0.09%","0.96%","0.14%","3.83%","20.57%",266728
"Delta Ln (Assets)","1.39%","-7.77%","-0.41%","1.13%","2.87%","13.17%","3.27%","0.64%","5.18%",427375
"IR Hedging Derivatives","0.54%","0%","0%","0%","0%","17.5%","2.33%","5.71%","37.54%",427371
"IR Trading Derivatives","0.05%","0%","0%","0%","0%","3.33%","0.37%","8.29%","71.9%",427371
